RA,Nome Anonimizado,Fase,Pedra_Atual,IEG,IPS,IPP,IPV,Idade_Atual,Anos_de_Passos_Magicos
RA-931,Aluno-931,ALFA,Ametista,8.2,2.52,5.625,7.6,8,0
RA-931,Aluno-931,ALFA,Ametista,8.5833333335,2.51,7.5,6.83,9,1
RA-932,Aluno-932,ALFA,Topázio,7.9,7.52,8.125,9.0,8,0
RA-933,Aluno-933,ALFA,Topázio,8.4,7.52,8.75,9.67,8,0
RA-934,Aluno-934,ALFA,Topázio,9.6,7.52,9.375,9.67,8,0
RA-934,Aluno-934,ALFA,Topázio,9.75,7.51,9.375,7.75,9,1
RA-935,Aluno-935,ALFA,Ametista,9.8,7.52,9.375,9.67,9,0
RA-935,Aluno-935,ALFA,Topázio,10.0,7.51,8.75,7.83,10,1
RA-936,Aluno-936,ALFA,Topázio,10.0,7.52,8.125,8.915,8,0
RA-937,Aluno-937,ALFA,Topázio,9.6,7.52,9.375,9.67,8,0
RA-937,Aluno-937,ALFA,Topázio,10.0,9.38,8.75,7.83,9,1
RA-938,Aluno-938,ALFA,Agata,8.4,7.52,6.25,7.5,9,0
RA-938,Aluno-938,ALFA,Topázio,9.544513457499999,7.51,8.125,7.665,10,1
RA-939,Aluno-939,ALFA,Ametista,10.0,7.52,7.5,10.01,11,0
RA-939,Aluno-939,1N,Ametista,8.8833992095,5.63,8.125,7.495,12,1
RA-94,Aluno-94,5,Topázio,9.6,8.1,,9.583,15,4
RA-94,Aluno-94,FASE 5,Ametista,9.6,2.52,8.75,7.795,16,5
RA-94,Aluno-94,6L,Topázio,9.666666666666666,6.26,8.375,8.2,17,3
RA-940,Aluno-940,ALFA,Agata,8.4,2.52,6.25,7.02,11,0
RA-941,Aluno-941,ALFA,Ametista,10.0,7.52,5.0,8.175,8,0
RA-941,Aluno-941,ALFA,Ametista,9.25,5.01,8.125,7.665,9,1
RA-942,Aluno-942,ALFA,Agata,8.9,2.52,5.625,7.0,10,0
RA-943,Aluno-943,ALFA,Topázio,9.4,7.52,7.5,9.925,8,0
